IDN4,obec,populace,centroid-lat,centroid-lon
503584,Štúrovo - Párkány,9777,47.7962708,18.7058626
503592,Šurany,9562,48.0834214,18.1630492
503606,Trávnica,1032,48.1421722,18.3458419
503614,Tvrdošovce - Tardoskedd,5183,48.090436,18.0439981
503631,Veľké Lovce,1803,48.0664322,18.3464959
503649,Zemné - Szímő,2136,47.9953505,18.0387872
503665,Galanta - Galánta,15052,48.1993834,17.7266538
503673,Abrahám,1120,48.2475978,17.6207128
503681,Boldog - Pozsonyboldogfa,488,48.2367879,17.4292957
503690,Čierna Voda - Feketenyék,1424,48.1235736,17.6403713
503703,Čierny Brod - Vízkelet,1645,48.1787985,17.6232697
503711,Diakovce - Deáki,2381,48.1355574,17.8172074
503720,Dlhá nad Váhom - Vághosszúfalu,913,48.1817607,17.8629308
503746,Dolné Saliby - Alsószeli,2020,48.0924664,17.7922829
503754,Dolný Chotár - Alsóhatár,361,47.9945726,17.8594173
503762,Gáň,870,48.2326048,17.7201306
503771,Horné Saliby - Felsőszeli,3198,48.1137888,17.7471421
503789,Hoste,437,48.2612047,17.6418318
503797,Hrubá Borša,1323,48.177381,17.4807634
503801,Hrubý Šúr - Hegysúr,1038,48.1679352,17.4117684
503819,Hurbanova Ves,529,48.156497,17.4445071
503827,Jánovce (GA),492,48.1825889,17.5282412
503835,Jelka - Jóka,4042,48.1440902,17.5181118
503843,Kajal - Nemeskajal,1554,48.1967514,17.7931789
503851,Kostolná pri Dunaji - Egyházfa,781,48.1741731,17.4449045
503860,Košúty - Nemeskosút,1793,48.1739384,17.6552225
503878,Kráľov Brod - Királyrév,1058,48.0486371,17.8282142
503886,Kráľová nad Váhom - Vágkirályfa,1828,48.176716,17.8284711
503894,Kráľová pri Senci,2233,48.1946151,17.464591
503924,Mostová - Hidaskürt,1578,48.1015336,17.6388161
503932,Neded - Negyed,3215,48.0036221,17.9618847
503959,Pata,3253,48.2794096,17.8278681
503967,Pusté Sady,605,48.3094515,17.8232501
503975,Pusté Úľany,1824,48.2187265,17.5581956
