IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
508781,Môlča,6,SK,91.7%,0.0%,3.9%,0.0%,508781.0,Pellegrini,0.68,0.68,0.0,8.9,41.78,0.68,3.42,0.0,0.0,43.84,0.0
508799,Moštenica,6,SK,94.8%,1.3%,0.0%,0.0%,508799.0,Pellegrini,0.0,0.0,0.0,20.98,24.48,2.1,3.5,0.0,0.0,48.95,0.0
508802,Motyčky,6,SK,97.1%,0.0%,0.0%,0.0%,508802.0,Pellegrini,2.94,0.0,0.0,13.24,23.53,0.0,1.47,1.47,0.0,57.35,0.0
508811,Mýto pod Ďumbierom,6,SK,93.9%,1.0%,0.0%,0.8%,508811.0,Korčok,0.0,1.29,0.96,7.4,50.16,0.32,3.86,0.64,0.0,35.37,0.0
508829,Nemecká,6,SK,94.2%,0.1%,0.6%,0.0%,508829.0,Pellegrini,0.0,0.39,0.0,11.91,28.8,0.65,2.88,0.52,0.0,54.58,0.26
508837,Oravce,6,SK,97.2%,0.0%,0.0%,0.0%,508837.0,Pellegrini,0.0,0.0,0.0,7.07,26.26,0.0,2.02,2.02,0.0,62.63,0.0
508845,Osrblie,6,SK,97.5%,0.6%,0.0%,0.6%,508845.0,Pellegrini,0.49,0.0,0.0,7.32,27.32,0.0,0.0,2.44,0.0,61.95,0.49
508853,Podbrezová,6,SK,90.6%,0.3%,0.5%,0.0%,508853.0,Pellegrini,0.07,0.13,0.13,16.35,26.24,0.86,2.57,1.19,0.0,52.41,0.07
508861,Podkonice,6,SK,97.4%,0.0%,0.0%,0.1%,508861.0,Pellegrini,0.0,0.23,0.0,8.39,43.08,0.45,1.36,1.13,0.0,45.35,0.0
508870,Pohorelá,6,SK,96.7%,0.0%,0.1%,0.0%,508870.0,Pellegrini,0.0,0.33,0.0,14.1,18.28,1.21,1.65,1.1,0.0,63.11,0.22
508888,Pohronská Polhora,6,SK,92.2%,0.0%,0.7%,0.1%,508888.0,Pellegrini,0.0,0.0,0.0,16.67,29.12,2.02,2.02,1.35,0.0,48.65,0.17
508896,Pohronský Bukovec,6,SK,96.6%,0.0%,0.0%,0.0%,508896.0,Pellegrini,0.0,0.0,0.0,6.15,20.0,1.54,3.08,0.0,0.0,69.23,0.0
508900,Polomka,6,SK,92.7%,0.2%,2.6%,0.1%,508900.0,Pellegrini,0.0,0.0,0.0,15.87,25.23,0.92,2.14,0.92,0.1,54.73,0.1
508918,Poniky,6,SK,98.0%,0.1%,0.1%,0.1%,508918.0,Pellegrini,0.0,0.42,0.0,12.29,36.3,0.71,1.84,0.71,0.14,47.32,0.28
508926,Povrazník,6,SK,90.9%,0.0%,0.0%,0.0%,508926.0,Pellegrini,0.0,0.0,0.0,22.73,18.18,5.68,2.27,0.0,0.0,51.14,0.0
508934,Predajná,6,SK,93.2%,0.1%,0.1%,0.0%,508934.0,Pellegrini,0.0,0.7,0.0,12.85,38.03,1.41,3.7,1.23,0.0,41.9,0.18
