IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Korčok,Pellegrini
517577,Hôrky,5,SK,98.0%,0.0%,0.0%,0.0%,517577.0,Pellegrini,0.0,100.0
517593,Horný Hričov,5,SK,99.2%,0.0%,0.0%,0.0%,517593.0,Korčok,100.0,0.0
517623,Hvozdnica,5,SK,97.6%,0.0%,0.0%,0.0%,517623.0,Pellegrini,11.11,88.89
517631,Jablonové (BY),5,SK,98.6%,0.0%,0.0%,0.0%,517631.0,Pellegrini,0.0,100.0
517640,Jasenové,5,SK,96.6%,0.2%,0.0%,0.0%,517640.0,Pellegrini,0.0,100.0
517658,Kamenná Poruba (ZA),5,SK,99.0%,0.0%,0.0%,0.0%,517658.0,Pellegrini,22.22,77.78
517674,Kolárovice,5,SK,99.0%,0.1%,0.0%,0.0%,517674.0,Pellegrini,0.0,100.0
517682,Konská (ZA),5,SK,98.6%,0.1%,0.0%,0.1%,517682.0,Pellegrini,0.0,100.0
517691,Kotešová,5,SK,98.4%,0.4%,0.0%,0.0%,517691.0,Pellegrini,8.33,91.67
517704,Kotrčiná Lúčka,5,SK,99.6%,0.0%,0.0%,0.0%,517704.0,Pellegrini,0.0,100.0
517712,Krasňany,5,SK,93.6%,0.1%,0.0%,0.1%,517712.0,Pellegrini,16.67,83.33
517721,Kunerad,5,SK,99.0%,0.0%,0.0%,0.0%,517721.0,Korčok,50.0,50.0
517739,Lietava,5,SK,98.4%,0.1%,0.1%,0.0%,517739.0,Pellegrini,16.67,83.33
517755,Lietavská Svinná-Babkov,5,SK,95.3%,0.0%,0.0%,0.1%,517755.0,Pellegrini,0.0,100.0
517763,Lutiše,5,SK,98.9%,0.1%,0.0%,0.0%,517763.0,Pellegrini,0.0,100.0
517771,Lysica,5,SK,97.8%,0.0%,0.0%,0.0%,517771.0,Pellegrini,0.0,100.0
517780,Malá Čierna,5,SK,97.6%,0.0%,0.3%,0.0%,517780.0,Pellegrini,0.0,100.0
517798,Maršová-Rašov,5,SK,95.4%,0.0%,0.0%,0.0%,517798.0,Pellegrini,0.0,100.0
517801,Mojš,5,SK,96.1%,0.1%,0.0%,0.0%,517801.0,Pellegrini,0.0,100.0
517828,Nededza,5,SK,97.6%,0.0%,0.0%,0.0%,517828.0,Pellegrini,0.0,100.0
517861,Petrovice,5,SK,96.2%,0.1%,0.0%,0.0%,517861.0,Pellegrini,0.0,100.0
517879,Podhorie (ZA),5,SK,98.2%,0.5%,0.0%,0.0%,517879.0,Pellegrini,11.11,88.89
517895,Predmier,5,SK,94.5%,0.0%,0.0%,0.1%,517895.0,Pellegrini,0.0,100.0
517917,Rajec,5,SK,94.2%,0.1%,0.0%,0.0%,517917.0,Pellegrini,10.26,89.74
517925,Rajecká Lesná,5,SK,99.2%,0.0%,0.0%,0.0%,517925.0,Pellegrini,0.0,100.0
517933,Rajecké Teplice,5,SK,96.2%,0.1%,0.0%,0.0%,517933.0,Pellegrini,0.0,100.0
517941,Rosina,5,SK,96.9%,0.1%,0.0%,0.0%,517941.0,Pellegrini,18.18,81.82
517950,Stráňavy,5,SK,96.2%,0.2%,0.0%,0.0%,517950.0,Korčok,50.0,50.0
517968,Stránske,5,SK,97.5%,0.2%,0.0%,0.0%,517968.0,Pellegrini,0.0,100.0
517976,Stráža,5,SK,98.7%,0.0%,0.0%,0.0%,517976.0,Pellegrini,0.0,100.0
517984,Strečno,5,SK,96.9%,0.0%,0.0%,0.0%,517984.0,Pellegrini,12.5,87.5
517992,Súľov-Hradná,5,SK,96.9%,0.1%,0.0%,0.0%,517992.0,Pellegrini,0.0,100.0
518000,Svederník,5,SK,97.8%,0.1%,0.1%,0.0%,518000.0,Pellegrini,0.0,100.0
518018,Štiavnik,5,SK,96.6%,0.0%,0.0%,0.0%,518018.0,Pellegrini,16.67,83.33
518034,Teplička nad Váhom,5,SK,96.6%,0.1%,0.0%,0.0%,518034.0,Pellegrini,11.11,88.89
518042,Terchová,5,SK,95.2%,0.1%,0.0%,0.0%,518042.0,Pellegrini,12.5,87.5
518051,Turie,5,SK,96.6%,0.0%,0.0%,0.0%,518051.0,Pellegrini,0.0,100.0
518069,Varín,5,SK,97.7%,0.1%,0.0%,0.1%,518069.0,Pellegrini,5.56,94.44
518077,Veľká Čierna,5,SK,97.5%,0.0%,0.0%,0.0%,518077.0,Pellegrini,16.67,83.33
518085,Veľké Rovné,5,SK,95.9%,0.0%,0.0%,0.1%,518085.0,Pellegrini,27.27,72.73
518093,Višňové (ZA),5,SK,94.9%,0.0%,0.0%,0.1%,518093.0,Pellegrini,18.18,81.82
518107,Hosťovce (KS) - Bódvavendégi,8,HU,40.1%,57.9%,0.0%,0.0%,518107.0,Korčok,50.0,50.0
518115,Slančík,8,SK,95.5%,0.5%,0.0%,0.0%,518115.0,Pellegrini,0.0,100.0
518123,Háj (KS) - Áj,8,HU,23.4%,71.0%,0.0%,0.0%,518123.0,Korčok,0.0,0.0
518131,Zbyňov,5,SK,98.2%,0.0%,0.0%,0.0%,518131.0,Pellegrini,33.33,66.67
518140,Nižná Hutka,8,SK,97.6%,1.0%,0.0%,0.2%,518140.0,Korčok,0.0,0.0
518158,Zvolen,6,SK,89.2%,0.4%,0.3%,0.1%,518158.0,Pellegrini,7.48,92.52
518166,Babiná,6,SK,96.8%,0.0%,0.2%,0.2%,518166.0,Korčok,50.0,50.0
518174,Bacúrov,6,SK,98.1%,0.6%,0.0%,0.0%,518174.0,Korčok,0.0,0.0
518191,Breziny,6,SK,92.5%,0.0%,1.3%,0.0%,518191.0,Pellegrini,0.0,100.0
518204,Budča,6,SK,97.0%,0.3%,0.7%,0.0%,518204.0,Pellegrini,0.0,100.0
518212,Bzovík,6,SK,95.8%,0.2%,3.2%,0.0%,518212.0,Pellegrini,12.5,87.5
518221,Bzovská Lehôtka,6,SK,96.2%,0.0%,0.0%,0.0%,518221.0,Korčok,0.0,0.0
518239,Cerovo,6,SK,97.6%,0.2%,0.0%,0.0%,518239.0,Korčok,0.0,0.0
518247,Čabradský Vrbovok,6,SK,97.0%,0.0%,0.9%,0.0%,518247.0,Korčok,0.0,0.0
518255,Čekovce,6,SK,91.8%,0.0%,4.0%,0.0%,518255.0,Korčok,50.0,50.0
518263,Detva,6,SK,93.2%,0.2%,0.9%,0.0%,518263.0,Pellegrini,13.89,86.11
518271,Detvianska Huta,6,SK,97.9%,0.0%,0.2%,0.0%,518271.0,Pellegrini,0.0,100.0
518280,Devičie,6,SK,98.7%,0.0%,0.0%,0.0%,518280.0,Pellegrini,0.0,100.0
518298,Dobrá Niva,6,SK,98.1%,0.0%,0.0%,0.0%,518298.0,Pellegrini,14.29,85.71
518301,Dolné Mladonice,6,SK,100.0%,0.0%,0.0%,0.0%,518301.0,Korčok,0.0,0.0
518310,Dolný Badín,6,SK,99.2%,0.0%,0.4%,0.0%,518310.0,Pellegrini,0.0,100.0
518336,Domaníky,6,SK,96.2%,0.0%,2.8%,0.0%,518336.0,Pellegrini,0.0,100.0
518344,Drážovce,6,SK,94.1%,0.8%,3.4%,0.0%,518344.0,Korčok,100.0,0.0
518352,Drienovo,6,SK,100.0%,0.0%,0.0%,0.0%,518352.0,Korčok,0.0,0.0
518361,Dubové (ZV),6,SK,96.3%,0.0%,0.3%,0.0%,518361.0,Pellegrini,0.0,100.0
518379,Dúbravy,6,SK,97.3%,0.0%,0.5%,0.0%,518379.0,Pellegrini,33.33,66.67
518387,Dudince,6,SK,92.6%,3.0%,0.0%,0.1%,518387.0,Pellegrini,22.22,77.78
518409,Hontianske Moravce,6,SK,89.0%,0.9%,0.0%,0.3%,518409.0,Pellegrini,20.0,80.0
518417,Hontianske Nemce,6,SK,94.9%,0.0%,1.0%,0.0%,518417.0,Pellegrini,0.0,100.0
518425,Hontianske Tesáre,6,SK,94.8%,0.0%,0.7%,0.0%,518425.0,Pellegrini,0.0,100.0
518433,Horné Mladonice,6,SK,88.7%,0.5%,10.2%,0.0%,518433.0,Korčok,0.0,0.0
518441,Horný Badín,6,SK,98.3%,0.6%,0.0%,0.0%,518441.0,Pellegrini,0.0,100.0
518450,Horný Tisovník,6,SK,97.1%,0.0%,0.0%,0.0%,518450.0,Korčok,0.0,0.0
518468,Hriňová,6,SK,94.4%,0.1%,0.0%,0.0%,518468.0,Pellegrini,18.75,81.25
518476,Hronská Breznica,6,SK,93.0%,1.2%,0.0%,0.0%,518476.0,Korčok,0.0,0.0
518484,Jalšovík,6,SK,96.8%,0.0%,1.6%,0.0%,518484.0,Pellegrini,0.0,100.0
518492,Klokoč,6,SK,97.7%,0.0%,0.0%,0.0%,518492.0,Korčok,0.0,0.0
518506,Kováčová (ZV),6,SK,96.0%,0.2%,0.0%,0.1%,518506.0,Pellegrini,0.0,100.0
518514,Kozí Vrbovok,6,SK,100.0%,0.0%,0.0%,0.0%,518514.0,Pellegrini,33.33,66.67
518522,Haniska (PO),7,SK,93.5%,0.1%,0.0%,0.3%,518522.0,Pellegrini,0.0,100.0
518531,Kráľovce-Krnišov,6,SK,92.4%,0.0%,6.9%,0.0%,518531.0,Pellegrini,0.0,100.0
518549,Kriváň,6,SK,98.3%,0.1%,0.0%,0.0%,518549.0,Pellegrini,0.0,100.0
518557,Krupina,6,SK,94.1%,0.3%,0.4%,0.0%,518557.0,Pellegrini,25.0,75.0
518565,Lackov,6,SK,97.9%,1.1%,0.0%,0.0%,518565.0,Korčok,0.0,0.0
518573,Ladzany,6,SK,94.2%,0.0%,2.7%,0.0%,518573.0,Pellegrini,0.0,100.0
518581,Lešť (vojenský obvod),6,SK,90.3%,0.0%,0.0%,0.0%,518581.0,Pellegrini,0.0,100.0
518590,Ľubotice,7,SK,92.9%,0.1%,0.0%,1.2%,518590.0,Pellegrini,0.0,100.0
518603,Lišov,6,SK,89.9%,0.0%,3.7%,0.0%,518603.0,Pellegrini,0.0,100.0
518611,Litava,6,SK,98.3%,0.0%,1.1%,0.0%,518611.0,Korčok,50.0,50.0
518620,Ratkovce,2,SK,97.1%,0.3%,0.0%,0.0%,518620.0,Pellegrini,33.33,66.67
518638,Valaškovce (vojenský obvod),7,SK,,,,,,,,
518646,Medovarce,6,SK,98.6%,0.5%,0.0%,0.0%,518646.0,Korčok,0.0,0.0
518654,Michalková,6,SK,94.6%,0.0%,0.0%,0.0%,518654.0,Korčok,0.0,0.0
518662,Očová,6,SK,96.2%,0.2%,0.3%,0.1%,518662.0,Pellegrini,37.5,62.5
518671,Ostrá Lúka,6,SK,94.8%,0.0%,0.0%,0.3%,518671.0,Korčok,0.0,0.0
518689,Pliešovce,6,SK,94.5%,0.3%,0.0%,0.1%,518689.0,Pellegrini,0.0,100.0
518697,Podzámčok,6,SK,98.5%,0.2%,0.0%,0.0%,518697.0,Pellegrini,16.67,83.33
518701,Rykynčice,6,SK,95.8%,0.4%,0.4%,0.0%,518701.0,Korčok,0.0,0.0
518719,Čimhová,5,SK,99.6%,0.0%,0.0%,0.0%,518719.0,Pellegrini,9.09,90.91
518727,Sása (ZV),6,SK,96.3%,0.3%,0.0%,0.0%,518727.0,Pellegrini,20.0,80.0
518735,Sebechleby,6,SK,98.0%,0.1%,0.1%,0.0%,518735.0,Pellegrini,0.0,100.0
518743,Selce (KA),6,SK,96.8%,3.2%,0.0%,0.0%,518743.0,Korčok,0.0,0.0
518751,Senohrad,6,SK,95.6%,0.0%,0.1%,0.0%,518751.0,Pellegrini,0.0,100.0
518760,Sielnica,6,SK,96.5%,0.1%,1.6%,0.0%,518760.0,Pellegrini,16.67,83.33
518794,Slatinské Lazy,6,SK,95.9%,0.2%,0.2%,0.0%,518794.0,Korčok,0.0,0.0
518808,Sliač,6,SK,95.5%,0.4%,0.0%,0.1%,518808.0,Pellegrini,4.0,96.0
518816,Stará Huta,6,SK,95.0%,0.0%,0.0%,0.0%,518816.0,Korčok,0.0,0.0
518824,Stožok,6,SK,96.7%,0.1%,0.1%,0.1%,518824.0,Korčok,100.0,0.0
518832,Sudince,6,SK,100.0%,0.0%,0.0%,0.0%,518832.0,Korčok,0.0,0.0
518841,Súdovce,6,SK,92.8%,0.5%,2.4%,0.0%,518841.0,Pellegrini,0.0,100.0
518867,Terany,6,SK,94.7%,0.5%,0.2%,0.0%,518867.0,Pellegrini,0.0,100.0
518875,Tŕnie,6,SK,96.3%,0.5%,0.0%,0.5%,518875.0,Pellegrini,0.0,100.0
518883,Trpín,6,SK,94.4%,0.0%,0.0%,0.0%,518883.0,Korčok,0.0,0.0
518891,Turová,6,SK,98.4%,0.0%,0.2%,0.0%,518891.0,Pellegrini,0.0,100.0
518905,Uňatín,6,SK,94.9%,0.0%,0.0%,0.0%,518905.0,Pellegrini,0.0,100.0
518913,Sverepec,3,SK,96.2%,0.0%,0.0%,0.0%,518913.0,Pellegrini,0.0,100.0
518921,Vígľaš,6,SK,94.4%,0.1%,1.6%,0.0%,518921.0,Korčok,80.0,20.0
518930,Vígľašská Huta-Kalinka,6,SK,95.0%,0.0%,0.0%,0.0%,518930.0,Korčok,0.0,0.0
518956,Zemiansky Vrbovok,6,SK,96.2%,0.0%,0.0%,0.0%,518956.0,Korčok,0.0,0.0
518964,Vaniškovce,7,SK,99.4%,0.0%,0.3%,0.0%,518964.0,Pellegrini,0.0,100.0
518972,Zvolenská Slatina,6,SK,93.4%,0.1%,0.5%,0.0%,518972.0,Pellegrini,0.0,100.0
518981,Železná Breznica,6,SK,98.6%,0.0%,0.0%,0.0%,518981.0,Pellegrini,25.0,75.0
518999,Žibritov,6,SK,91.8%,1.4%,0.0%,0.0%,518999.0,Pellegrini,0.0,100.0
519006,Bardejov,7,SK,87.7%,0.1%,1.5%,2.3%,519006.0,Pellegrini,3.12,96.88
519014,Abrahámovce (BJ),7,SK,98.5%,0.3%,0.0%,0.0%,519014.0,Korčok,0.0,0.0
519022,Andrejová,7,SK,85.1%,0.3%,3.1%,6.9%,519022.0,Pellegrini,0.0,100.0
519049,Bartošovce,7,SK,98.2%,0.0%,0.0%,0.1%,519049.0,Pellegrini,0.0,100.0
519057,Becherov - Бехерів,7,SK,56.4%,0.0%,4.6%,32.9%,519057.0,Pellegrini,0.0,100.0
519065,Beloveža,7,SK,87.1%,0.1%,0.0%,10.8%,519065.0,Korčok,0.0,0.0
519073,Bogliarka,7,SK,79.6%,1.0%,0.0%,15.5%,519073.0,Korčok,0.0,0.0
519081,Brezov,7,SK,95.7%,0.0%,0.0%,0.0%,519081.0,Pellegrini,0.0,100.0
519090,Brezovka,7,SK,93.3%,0.0%,0.0%,0.0%,519090.0,Pellegrini,0.0,100.0
519103,Buclovany,7,SK,98.1%,0.0%,0.0%,0.0%,519103.0,Korčok,0.0,0.0
519111,Cigeľka,7,SK,94.9%,0.0%,2.0%,1.4%,519111.0,Korčok,0.0,0.0
519138,Dubinné,7,SK,98.5%,0.0%,0.0%,0.3%,519138.0,Korčok,0.0,0.0
519154,Frička,7,SK,73.3%,0.0%,14.2%,9.4%,519154.0,Pellegrini,0.0,100.0
519162,Fričkovce,7,SK,94.4%,0.0%,0.0%,0.3%,519162.0,Pellegrini,25.0,75.0
519171,Gaboltov,7,SK,95.3%,0.0%,0.4%,1.2%,519171.0,Pellegrini,12.5,87.5
519189,Gerlachov (BJ),7,SK,86.0%,0.1%,3.7%,8.4%,519189.0,Pellegrini,0.0,100.0
519197,Giraltovce,7,SK,86.8%,0.1%,2.0%,0.3%,519197.0,Pellegrini,0.0,100.0
519201,Hankovce (BJ),7,SK,99.1%,0.0%,0.0%,0.0%,519201.0,Pellegrini,0.0,100.0
519219,Harhaj,7,SK,97.3%,0.8%,0.0%,0.4%,519219.0,Korčok,0.0,0.0
519227,Hažlín,7,SK,96.1%,0.0%,0.0%,0.7%,519227.0,Korčok,50.0,50.0
519235,Hertník,7,SK,99.1%,0.0%,0.2%,0.1%,519235.0,Pellegrini,6.25,93.75
519243,Hervartov,7,SK,99.2%,0.0%,0.0%,0.6%,519243.0,Pellegrini,0.0,100.0
519251,Hrabovec,7,SK,96.1%,0.0%,0.0%,1.4%,519251.0,Pellegrini,0.0,100.0
519260,Hrabské,7,SK,88.2%,0.0%,5.1%,2.5%,519260.0,Pellegrini,33.33,66.67
519278,Hutka,7,SK,77.1%,0.0%,3.1%,16.7%,519278.0,Korčok,0.0,0.0
519286,Chmeľová - Хмелёва,7,SK,64.2%,0.0%,0.0%,30.4%,519286.0,Pellegrini,0.0,100.0
519294,Janovce,7,SK,97.6%,0.0%,0.0%,0.0%,519294.0,Korčok,0.0,0.0
519308,Jedlinka - Ялинкы,7,SK,73.8%,0.0%,0.0%,22.5%,519308.0,Korčok,0.0,0.0
519316,Kalnište,7,SK,99.8%,0.0%,0.0%,0.0%,519316.0,Pellegrini,0.0,100.0
519324,Kľušov,7,SK,95.2%,0.0%,0.0%,0.5%,519324.0,Pellegrini,0.0,100.0
519332,Kobylnice,7,SK,94.4%,0.0%,0.0%,2.2%,519332.0,Pellegrini,0.0,100.0
519341,Kobyly,7,SK,99.1%,0.0%,0.0%,0.1%,519341.0,Pellegrini,0.0,100.0
519359,Kochanovce (BJ),7,SK,100.0%,0.0%,0.0%,0.0%,519359.0,Korčok,0.0,0.0
519367,Komárov,7,SK,97.8%,0.0%,0.2%,0.0%,519367.0,Pellegrini,0.0,100.0
519375,Koprivnica,7,SK,98.5%,0.2%,0.0%,0.2%,519375.0,Pellegrini,0.0,100.0
519383,Kožany,7,SK,76.9%,0.0%,1.9%,1.0%,519383.0,Korčok,0.0,0.0
519391,Kračúnovce,7,SK,98.9%,0.1%,0.0%,0.2%,519391.0,Pellegrini,0.0,100.0
519405,Krivé,7,SK,97.2%,0.0%,0.0%,1.9%,519405.0,Pellegrini,0.0,100.0
519413,Kríže,7,SK,95.3%,0.0%,0.0%,3.1%,519413.0,Korčok,0.0,0.0
519421,Kružlov,7,SK,91.2%,0.0%,0.5%,5.7%,519421.0,Korčok,50.0,50.0
519430,Kučín (BJ),7,SK,96.9%,0.0%,0.0%,0.0%,519430.0,Korčok,0.0,0.0
519448,Kuková,7,SK,95.3%,0.0%,0.1%,0.4%,519448.0,Korčok,66.67,33.33
519456,Kurima,7,SK,96.2%,0.1%,0.8%,0.3%,519456.0,Pellegrini,0.0,100.0
519464,Kurov,7,SK,90.4%,0.0%,0.4%,6.8%,519464.0,Korčok,77.78,22.22
519472,Lascov,7,SK,97.1%,0.0%,0.2%,0.0%,519472.0,Pellegrini,0.0,100.0
519481,Lenartov,7,SK,91.7%,0.0%,4.8%,0.3%,519481.0,Korčok,50.0,50.0
519499,Lipová (BJ),7,SK,95.7%,0.0%,0.0%,1.4%,519499.0,Korčok,0.0,0.0
519502,Livov,7,SK,93.5%,0.0%,0.0%,3.2%,519502.0,Korčok,50.0,50.0
519511,Livovská Huta,7,SK,84.4%,0.0%,0.0%,13.3%,519511.0,Pellegrini,0.0,100.0
519529,Lopúchov,7,SK,98.7%,0.0%,0.0%,0.0%,519529.0,Korčok,50.0,50.0
519537,Lúčka (SK),7,SK,97.7%,0.2%,1.0%,0.0%,519537.0,Pellegrini,0.0,100.0
519545,Lukavica (BJ),7,SK,99.5%,0.0%,0.0%,0.0%,519545.0,Korčok,100.0,0.0
519553,Lukov,7,SK,92.3%,0.0%,3.1%,2.6%,519553.0,Pellegrini,0.0,100.0
519561,Lužany pri Topli,7,SK,99.2%,0.0%,0.0%,0.0%,519561.0,Korčok,0.0,0.0
519570,Malcov,7,SK,96.4%,0.0%,1.1%,0.4%,519570.0,Pellegrini,0.0,100.0
519588,Marhaň,7,SK,94.3%,0.1%,0.7%,0.2%,519588.0,Korčok,100.0,0.0
519596,Mičakovce,7,SK,99.2%,0.0%,0.0%,0.0%,519596.0,Korčok,0.0,0.0
519600,Mikulášová - Никлёва,7,SK,73.0%,0.0%,0.0%,23.8%,519600.0,Korčok,0.0,0.0
519618,Mokroluh,7,SK,97.8%,0.0%,0.0%,0.3%,519618.0,Pellegrini,0.0,100.0
519626,Nemcovce (BJ),7,SK,99.6%,0.0%,0.0%,0.0%,519626.0,Korčok,0.0,0.0
519634,Nižná Polianka,7,SK,78.3%,0.0%,0.0%,19.0%,519634.0,Pellegrini,0.0,100.0
519642,Nižná Voľa,7,SK,96.4%,0.0%,0.0%,0.7%,519642.0,Pellegrini,0.0,100.0
519669,Nižný Tvarožec,7,SK,86.8%,0.0%,0.7%,7.1%,519669.0,Korčok,100.0,0.0
519677,Oľšavce,7,SK,97.6%,0.0%,0.0%,0.0%,519677.0,Pellegrini,0.0,100.0
519685,Ondavka - Ондавка,7,XU,33.3%,0.0%,0.0%,66.7%,519685.0,Korčok,0.0,0.0
519693,Ortuťová,7,SK,83.9%,0.5%,2.6%,11.5%,519693.0,Pellegrini,0.0,100.0
519707,Osikov,7,SK,99.7%,0.0%,0.0%,0.1%,519707.0,Pellegrini,11.11,88.89
519715,Petrová,7,SK,90.3%,0.0%,2.8%,4.5%,519715.0,Korčok,100.0,0.0
519723,Poliakovce,7,SK,96.3%,0.0%,0.0%,0.3%,519723.0,Korčok,0.0,0.0
519731,Porúbka (BJ),7,SK,96.4%,0.4%,0.0%,0.0%,519731.0,Pellegrini,0.0,100.0
519740,Regetovka,7,SK,93.5%,0.0%,0.0%,0.0%,519740.0,Korčok,0.0,0.0
519758,Rešov,7,SK,93.4%,0.0%,0.0%,3.3%,519758.0,Korčok,0.0,0.0
519766,Richvald,7,SK,97.8%,0.0%,0.2%,0.1%,519766.0,Pellegrini,0.0,100.0
519774,Rokytov,7,SK,93.3%,0.0%,4.5%,0.4%,519774.0,Korčok,0.0,0.0
519782,Smilno,7,SK,97.3%,0.0%,0.0%,1.3%,519782.0,Pellegrini,0.0,100.0
519791,Snakov,7,SK,80.0%,0.0%,12.6%,5.0%,519791.0,Korčok,0.0,0.0
519804,Stebnícka Huta,7,SK,95.6%,0.0%,0.0%,0.5%,519804.0,Korčok,0.0,0.0
519812,Stebník,7,SK,88.5%,0.0%,0.0%,9.2%,519812.0,Pellegrini,0.0,100.0
519821,Stuľany,7,SK,99.5%,0.0%,0.0%,0.0%,519821.0,Pellegrini,0.0,100.0
519839,Sveržov,7,SK,99.0%,0.0%,0.6%,0.0%,519839.0,Pellegrini,0.0,100.0
519847,Šarišské Čierne,7,SK,77.0%,0.0%,2.7%,18.3%,519847.0,Pellegrini,0.0,100.0
519855,Šašová,7,SK,87.8%,0.0%,10.4%,1.2%,519855.0,Pellegrini,0.0,100.0
519863,Šiba,7,SK,98.6%,0.0%,0.0%,0.5%,519863.0,Pellegrini,0.0,100.0
519871,Tarnov,7,SK,96.0%,0.0%,0.0%,1.0%,519871.0,Pellegrini,0.0,100.0
519880,Tročany,7,SK,97.9%,0.0%,0.0%,0.0%,519880.0,Korčok,0.0,0.0
519901,Varadka,7,XR,34.3%,0.0%,52.4%,8.5%,519901.0,Korčok,0.0,0.0
519910,Vyšná Polianka - Вышня Полянка,7,XU,48.6%,0.0%,0.9%,50.5%,519910.0,Korčok,0.0,0.0
519928,Vyšná Voľa,7,SK,99.7%,0.0%,0.0%,0.0%,519928.0,Pellegrini,0.0,100.0
519936,Raslavice,7,SK,97.6%,0.0%,1.4%,0.1%,519936.0,Pellegrini,7.14,92.86
519944,Vyšný Kručov,7,SK,99.3%,0.0%,0.0%,0.0%,519944.0,Korčok,0.0,0.0
519952,Vyšný Tvarožec - Вышнїй Тварожець,7,SK,70.2%,0.0%,0.0%,27.3%,519952.0,Korčok,0.0,0.0
519961,Zborov,7,SK,90.5%,0.1%,5.9%,0.3%,519961.0,Pellegrini,0.0,100.0
519979,Zlaté,7,SK,98.7%,0.1%,0.0%,0.1%,519979.0,Pellegrini,0.0,100.0
519987,Železník,7,SK,98.9%,0.0%,0.0%,0.2%,519987.0,Pellegrini,0.0,100.0
519995,Želmanovce,7,SK,98.5%,0.3%,0.0%,0.0%,519995.0,Korčok,100.0,0.0
520004,Humenné,7,SK,84.5%,0.1%,0.5%,4.3%,520004.0,Pellegrini,10.13,89.87
520012,Adidovce,7,SK,95.2%,0.0%,0.0%,0.0%,520012.0,Pellegrini,0.0,100.0
520021,Baškovce (HE),7,SK,99.0%,0.0%,0.0%,0.2%,520021.0,Pellegrini,0.0,100.0
520039,Belá nad Cirochou,7,SK,97.3%,0.0%,0.1%,0.4%,520039.0,Pellegrini,30.0,70.0
520055,Brekov,7,SK,97.7%,0.2%,0.4%,0.2%,520055.0,Pellegrini,0.0,100.0
520063,Brestov (HE),7,SK,96.5%,0.0%,0.8%,1.2%,520063.0,Pellegrini,33.33,66.67
520071,Brestov nad Laborcom,7,SK,55.7%,0.0%,27.4%,8.5%,520071.0,Korčok,0.0,0.0
520080,Brezovec - Березовець,7,SK,53.8%,7.7%,0.0%,33.3%,520080.0,Korčok,0.0,0.0
520098,Čabalovce - Чабалівцї,7,SK,68.3%,0.0%,0.0%,25.5%,520098.0,Korčok,0.0,0.0
520101,Čabiny - Грабова Розтока,7,SK,47.8%,0.0%,0.0%,43.4%,520101.0,Korčok,0.0,0.0
520110,Černina,7,SK,99.4%,0.0%,0.0%,0.0%,520110.0,Korčok,0.0,0.0
520128,Čertižné - Чертижне,7,XU,43.3%,0.6%,0.0%,51.4%,520128.0,Pellegrini,0.0,100.0
520136,Čukalovce - nan,7,SK,60.5%,0.0%,0.0%,32.7%,520136.0,Korčok,0.0,0.0
520152,Dedačov,7,SK,99.4%,0.0%,0.0%,0.0%,520152.0,Korčok,0.0,0.0
520161,Dlhé nad Cirochou,7,SK,97.6%,0.0%,0.2%,0.1%,520161.0,Pellegrini,33.33,66.67
520179,Dúbrava (SV),7,SK,84.4%,0.5%,0.0%,11.8%,520179.0,Pellegrini,0.0,100.0
520187,Habura - nan,7,SK,50.3%,0.0%,0.0%,42.8%,520187.0,Pellegrini,0.0,100.0
520195,Hankovce (HE),7,SK,99.0%,0.0%,0.0%,0.4%,520195.0,Pellegrini,0.0,100.0
520209,Hostovice,7,SK,71.0%,0.4%,0.0%,18.7%,520209.0,Korčok,0.0,0.0
520217,Hrabová Roztoka - nan,7,SK,70.2%,0.0%,0.0%,24.6%,520217.0,Korčok,0.0,0.0
520225,Hrabovec nad Laborcom,7,SK,97.8%,0.0%,0.0%,1.2%,520225.0,Korčok,0.0,0.0
520233,Hrubov,7,SK,98.5%,0.2%,0.6%,0.2%,520233.0,Pellegrini,33.33,66.67
520241,Hudcovce,7,SK,97.5%,0.0%,0.0%,0.3%,520241.0,Korčok,100.0,0.0
520250,Rokytov pri Humennom,7,SK,79.6%,0.0%,0.7%,14.3%,520250.0,Pellegrini,0.0,100.0
520268,Chlmec,7,SK,96.6%,0.2%,0.0%,1.7%,520268.0,Pellegrini,0.0,100.0
520276,Jabloň,7,SK,98.5%,0.0%,0.0%,1.0%,520276.0,Pellegrini,0.0,100.0
520284,Jalová - Ялова,7,SK,70.3%,1.6%,0.0%,20.3%,520284.0,Korčok,0.0,0.0
520292,Jankovce,7,SK,97.0%,0.0%,0.0%,1.9%,520292.0,Korčok,0.0,0.0
520314,Kalinov - Калинів,7,SK,65.5%,0.0%,0.0%,29.5%,520314.0,Korčok,0.0,0.0
520322,Kalná Roztoka - Кална Розтока,7,SK,66.2%,0.0%,0.4%,30.4%,520322.0,Korčok,0.0,0.0
520331,Kamenica nad Cirochou,7,SK,94.2%,0.2%,1.1%,0.6%,520331.0,Pellegrini,25.0,75.0
520349,Kamienka (HE),7,SK,97.3%,0.0%,0.6%,0.4%,520349.0,Korčok,0.0,0.0
520357,Karná,7,SK,93.4%,0.0%,4.1%,0.0%,520357.0,Pellegrini,0.0,100.0
520365,Klenová - Кленова,7,SK,65.6%,0.0%,2.2%,28.9%,520365.0,Korčok,100.0,0.0
