IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
501387,Veľké Kosihy - Nagykeszi,945,47.7673067,17.8830318,501387,1,0,199,10,23,0,1,7,0,51,0,292,797,36.64
501395,Bátorove Kosihy - Bátorkeszi,3323,47.8396073,18.4041733,501395,1,2,402,51,77,1,4,18,0,179,0,735,2719,27.03
501409,Vrbová nad Váhom - Vágfüzes,543,47.8539933,18.0594026,501409,2,0,71,7,18,0,0,5,0,38,0,141,457,30.85
501417,Zemianska Olča - Nemesócsa,2317,47.8287121,17.883916,501417,0,2,262,14,57,1,0,8,0,80,0,424,1899,22.33
501425,Zlatná na Ostrove - Csallóközaranyos,2428,47.7742499,17.9624712,501425,0,2,300,28,52,0,0,10,0,98,0,490,2032,24.11
501433,Dunajská Streda - Dunaszerdahely,23044,48.0152783,17.6312798,501433,6,90,2161,307,2048,29,58,172,1,1334,1,6207,19102,32.49
501441,Báč - Bacsfa,546,48.0074168,17.3758017,501441,1,3,95,27,77,1,3,2,0,39,0,248,464,53.45
501450,Baka - Baka,1136,47.8919146,17.5203255,501450,1,1,202,9,73,0,1,3,0,77,0,367,967,37.95
501468,Baloň - Balony,720,47.8426503,17.6546568,501468,1,0,149,7,19,1,0,3,0,24,0,204,633,32.23
501484,Blahová - Sárrét,360,48.0938924,17.5530887,501484,0,3,19,29,62,3,3,0,0,60,0,179,373,47.99
501492,Blatná na Ostrove - Sárosfa,981,47.9675052,17.4524126,501492,0,0,159,25,101,0,4,6,0,60,0,355,812,43.72
501506,Boheľov - Bögellő,343,47.9051435,17.6962805,501506,0,5,61,2,21,1,0,6,0,18,0,114,299,38.13
501514,Čakany - Pozsonycsákány,651,48.1153643,17.373445,501514,0,3,47,8,107,0,6,4,0,64,0,239,497,48.09
501522,Veľký Meder - Nagymegyer,8446,47.8577623,17.7490698,501522,0,3,679,73,366,7,13,61,1,499,0,1702,6881,24.73
501531,Čiližská Radvaň - Csilizradvány,1175,47.8315833,17.7061411,501531,1,1,110,11,42,0,0,9,0,35,0,209,966,21.64
