IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate
509221,Klubina,5,SK,97.4%,0.0%,0.0%,0.0%
509230,Korňa,5,SK,97.0%,0.0%,0.0%,0.0%
509248,Krásno nad Kysucou,5,SK,97.3%,0.1%,0.0%,0.0%
509256,Kysucké Nové Mesto,5,SK,93.9%,0.1%,0.0%,0.0%
509264,Kysucký Lieskovec,5,SK,94.4%,0.0%,0.0%,0.0%
509272,Lodno,5,SK,97.5%,0.0%,0.0%,0.1%
509281,Lopušné Pažite,5,SK,98.0%,0.7%,0.0%,0.0%
509299,Makov,5,SK,96.7%,0.1%,0.0%,0.0%
509302,Nesluša,5,SK,92.1%,0.0%,0.1%,0.0%
509311,Nová Bystrica,5,SK,97.2%,0.0%,0.0%,0.0%
509329,Ochodnica,5,SK,97.0%,0.1%,0.0%,0.0%
509337,Olešná,5,SK,96.3%,0.0%,0.1%,0.0%
509345,Oščadnica,5,SK,96.2%,0.0%,0.0%,0.0%
509361,Podvysoká,5,SK,97.1%,0.0%,0.1%,0.0%
509370,Povina,5,SK,96.6%,0.0%,0.0%,0.0%
509396,Radôstka,5,SK,98.6%,0.0%,0.0%,0.0%
509400,Raková,5,SK,98.4%,0.0%,0.0%,0.0%
509426,Rudina,5,SK,96.4%,0.0%,0.0%,0.0%
509434,Rudinka,5,SK,96.5%,0.0%,0.0%,0.0%
509442,Rudinská,5,SK,95.7%,0.0%,0.0%,0.0%
509451,Skalité,5,SK,98.5%,0.1%,0.0%,0.0%
509469,Snežnica,5,SK,97.3%,0.0%,0.0%,0.0%
509477,Stará Bystrica,5,SK,97.9%,0.0%,0.0%,0.0%
509485,Staškov,5,SK,95.9%,0.0%,0.0%,0.0%
509493,Svrčinovec,5,SK,98.0%,0.0%,0.1%,0.0%
509507,Turzovka,5,SK,92.5%,0.1%,0.7%,0.0%
509515,Vysoká nad Kysucou,5,SK,95.3%,0.1%,0.3%,0.0%
509523,Zákopčie,5,SK,96.7%,0.1%,0.0%,0.0%
509531,Zborov nad Bystricou,5,SK,98.8%,0.0%,0.0%,0.0%
509540,Dolný Kubín,5,SK,94.6%,0.1%,0.2%,0.0%
509558,Babín,5,SK,98.9%,0.1%,0.0%,0.0%
509566,Beňadovo,5,SK,99.5%,0.1%,0.0%,0.0%
509582,Bobrov,5,SK,96.8%,0.0%,0.0%,0.0%
509591,Breza,5,SK,98.0%,0.1%,0.0%,0.0%
509604,Brezovica (TS),5,SK,99.3%,0.1%,0.0%,0.0%
509639,Dlhá nad Oravou,5,SK,98.5%,0.1%,0.0%,0.0%
509655,Habovka,5,SK,98.8%,0.0%,0.0%,0.0%
509663,Hladovka,5,SK,98.6%,0.0%,0.0%,0.0%
509671,Horná Lehota (DK),5,SK,98.6%,0.2%,0.0%,0.0%
509680,Hruštín,5,SK,99.2%,0.1%,0.0%,0.0%
509698,Chlebnice,5,SK,99.8%,0.0%,0.0%,0.0%
509701,Istebné,5,SK,95.0%,0.2%,0.1%,0.0%
509710,Jasenová,5,SK,98.6%,0.0%,0.0%,0.0%
509728,Klin,5,SK,98.6%,0.0%,0.0%,0.0%
509744,Kraľovany,5,SK,98.8%,0.0%,0.0%,0.0%
509761,Krivá,5,SK,99.0%,0.0%,0.0%,0.0%
509779,Krušetnica,5,SK,99.9%,0.0%,0.0%,0.0%
509787,Leštiny,5,SK,97.3%,0.0%,0.0%,0.0%
509795,Liesek,5,SK,99.0%,0.0%,0.0%,0.0%
509809,Lokca,5,SK,97.9%,0.0%,0.0%,0.0%
509817,Lomná,5,SK,98.1%,0.0%,0.0%,0.0%
509825,Malatiná,5,SK,96.6%,0.0%,0.0%,0.0%
509833,Medzibrodie nad Oravou,5,SK,98.8%,0.2%,0.0%,0.0%
509850,Mútne,5,SK,99.0%,0.0%,0.0%,0.0%
509868,Námestovo,5,SK,94.0%,0.0%,0.0%,0.0%
509876,Nižná (TS),5,SK,94.1%,0.1%,0.0%,0.0%
509884,Novoť,5,SK,98.9%,0.0%,0.0%,0.0%
509892,Oravská Jasenica,5,SK,98.9%,0.1%,0.0%,0.1%
509906,Oravská Lesná,5,SK,98.6%,0.1%,0.0%,0.0%
509914,Oravská Polhora,5,SK,98.5%,0.0%,0.0%,0.0%
509922,Oravská Poruba,5,SK,98.3%,0.0%,0.0%,0.0%
509931,Oravské Veselé,5,SK,99.3%,0.1%,0.0%,0.0%
509949,Oravský Biely Potok,5,SK,97.8%,0.0%,0.0%,0.0%
509957,Oravský Podzámok,5,SK,97.5%,0.0%,0.1%,0.0%
509965,Osádka,5,SK,95.9%,0.0%,0.0%,0.0%
509973,Párnica,5,SK,99.0%,0.0%,0.0%,0.0%
509981,Podbiel,5,SK,96.6%,0.0%,0.0%,0.0%
509990,Pokryváč,5,SK,96.0%,0.0%,0.0%,0.0%
510009,Pribiš,5,SK,98.7%,0.2%,0.0%,0.0%
510017,Pucov,5,SK,98.6%,0.1%,0.0%,0.0%
510025,Rabča,5,SK,97.7%,0.0%,0.0%,0.0%
510033,Rabčice,5,SK,97.8%,0.0%,0.0%,0.0%
510041,Sedliacka Dubová,5,SK,96.7%,0.0%,0.0%,0.0%
510050,Sihelné,5,SK,96.7%,0.0%,0.0%,0.0%
510076,Suchá Hora,5,SK,95.8%,0.0%,0.1%,0.0%
510084,Štefanov nad Oravou,5,SK,98.9%,0.0%,0.0%,0.0%
510092,Ťapešovo,5,SK,98.8%,0.1%,0.0%,0.0%
510106,Trstená,5,SK,96.1%,0.1%,0.0%,0.0%
510114,Tvrdošín,5,SK,96.0%,0.0%,0.0%,0.0%
510149,Vasiľov,5,SK,98.3%,0.1%,0.0%,0.0%
510157,Vavrečka,5,SK,97.7%,0.1%,0.0%,0.0%
510165,Veličná,5,SK,97.4%,0.0%,0.0%,0.0%
510173,Vitanová,5,SK,99.1%,0.0%,0.0%,0.0%
510181,Vyšný Kubín,5,SK,96.2%,0.0%,0.0%,0.1%
510190,Zábiedovo,5,SK,99.1%,0.0%,0.0%,0.0%
510203,Zákamenné,5,SK,98.6%,0.0%,0.0%,0.0%
510211,Zázrivá,5,SK,96.0%,0.0%,0.0%,0.0%
510238,Zuberec,5,SK,97.3%,0.1%,0.0%,0.0%
510246,Zubrohlava,5,SK,98.2%,0.0%,0.0%,0.0%
510254,Žaškov,5,SK,98.6%,0.0%,0.0%,0.0%
510262,Liptovský Mikuláš,5,SK,90.6%,0.3%,0.5%,0.1%
510271,Beňadiková,5,SK,97.4%,0.0%,0.0%,0.2%
510301,Bešeňová,5,SK,91.8%,0.5%,0.0%,0.0%
510319,Bobrovček,5,SK,97.6%,0.0%,0.0%,0.0%
510327,Bobrovec,5,SK,97.2%,0.1%,0.1%,0.1%
510335,Bobrovník,5,SK,95.5%,0.0%,0.0%,0.0%
510351,Bukovina,5,SK,96.4%,0.0%,0.0%,0.0%
510386,Demänovská Dolina,5,SK,89.9%,0.0%,0.0%,0.0%
510408,Dúbrava (LM),5,SK,97.5%,0.2%,0.0%,0.0%
510416,Galovany,5,SK,99.4%,0.0%,0.0%,0.0%
510424,Gôtovany,5,SK,95.3%,0.2%,0.2%,0.0%
510441,Hubová,5,SK,98.1%,0.2%,0.0%,0.0%
510459,Huty,5,SK,96.1%,0.0%,0.0%,0.0%
510467,Hybe,5,SK,95.3%,0.1%,0.6%,0.0%
510505,Jakubovany (LM),5,SK,96.2%,0.0%,0.0%,0.0%
510513,Jalovec (LM),5,SK,97.4%,0.0%,0.0%,0.0%
510521,Jamník (LM),5,SK,93.7%,0.0%,1.0%,0.0%
510530,Kalameny,5,SK,98.0%,0.4%,0.0%,0.0%
510548,Komjatná,5,SK,98.9%,0.1%,0.0%,0.0%
510564,Kráľova Lehota,5,SK,93.6%,0.0%,3.5%,0.0%
510572,Kvačany (LM),5,SK,98.7%,0.2%,0.0%,0.0%
510581,Lazisko,5,SK,98.4%,0.0%,0.0%,0.0%
510599,Likavka,5,SK,95.7%,0.0%,0.0%,0.0%
510602,Liptovská Anna,5,SK,95.8%,0.0%,0.0%,0.0%
510611,Liptovská Kokava,5,SK,97.5%,0.2%,0.0%,0.1%
510629,Liptovská Lúžna,5,SK,97.6%,0.0%,0.0%,0.0%
510637,Liptovská Osada,5,SK,94.9%,0.0%,0.0%,0.0%
510653,Liptovská Sielnica,5,SK,96.9%,0.0%,0.0%,0.2%
510661,Liptovská Štiavnica,5,SK,97.8%,0.1%,0.2%,0.1%
510670,Liptovská Teplá,5,SK,97.8%,0.1%,0.0%,0.0%
510688,Liptovské Beharovce,5,SK,96.3%,0.0%,0.0%,0.0%
510696,Liptovské Kľačany,5,SK,97.1%,0.0%,0.0%,0.0%
510700,Liptovské Matiašovce,5,SK,99.0%,0.0%,0.0%,0.0%
510718,Liptovské Revúce,5,SK,98.5%,0.3%,0.1%,0.0%
510726,Liptovský Hrádok,5,SK,93.3%,0.1%,0.2%,0.0%
510734,Liptovský Ján,5,SK,95.5%,0.1%,0.0%,0.0%
510742,Liptovský Michal,5,SK,96.3%,0.0%,0.0%,0.3%
510751,Liptovský Ondrej,5,SK,98.9%,0.2%,0.0%,0.0%
510777,Liptovský Trnovec,5,SK,92.8%,0.0%,0.0%,0.0%
510785,Lisková,5,SK,98.2%,0.0%,0.0%,0.0%
510793,Ľubeľa,5,SK,97.5%,0.2%,0.1%,0.0%
510807,Ľubochňa,5,SK,97.8%,0.3%,0.0%,0.0%
510815,Lúčky (RK),5,SK,97.8%,0.1%,0.0%,0.0%
510823,Ludrová,5,SK,99.3%,0.0%,0.0%,0.0%
510831,Malatíny,5,SK,91.8%,0.0%,0.0%,0.0%
510840,Malé Borové,5,SK,98.4%,0.0%,0.0%,0.0%
510858,Malužiná,5,SK,95.5%,0.0%,0.0%,0.0%
510866,Martinček,5,SK,97.1%,0.0%,0.0%,0.0%
510874,Nižná Boca,5,SK,98.2%,0.0%,0.0%,0.0%
510904,Partizánska Ľupča,5,SK,96.6%,0.0%,0.0%,0.1%
510912,Pavčina Lehota,5,SK,94.4%,0.0%,0.0%,0.0%
510921,Pavlova Ves,5,SK,94.0%,0.4%,0.0%,0.0%
510947,Podtureň,5,SK,95.9%,0.1%,0.0%,0.0%
510955,Potok (RK),5,SK,94.9%,0.0%,0.0%,0.0%
510963,Pribylina,5,SK,94.4%,0.2%,0.3%,0.3%
510971,Prosiek,5,SK,95.6%,0.0%,0.0%,0.0%
510998,Ružomberok,5,SK,92.2%,0.2%,0.3%,0.0%
511005,Liptovské Sliače,5,SK,98.7%,0.0%,0.1%,0.1%
511013,Smrečany,5,SK,96.7%,0.0%,0.1%,0.0%
511030,Stankovany,5,SK,97.0%,0.0%,0.0%,0.0%
511048,Svätý Kríž,5,SK,96.3%,0.1%,0.0%,0.0%
511056,Štiavnička,5,SK,97.5%,0.5%,0.0%,0.0%
511064,Švošov,5,SK,98.8%,0.0%,0.0%,0.0%
511072,Trstené,5,SK,98.2%,0.0%,0.0%,0.0%
511099,Uhorská Ves,5,SK,96.1%,0.0%,0.9%,0.0%
511102,Valaská Dubová,5,SK,97.4%,0.0%,0.0%,0.0%
511111,Vavrišovo,5,SK,96.7%,0.0%,0.9%,0.1%
511129,Važec,5,SK,89.7%,0.0%,0.8%,0.0%
511137,Veľké Borové,5,SK,97.5%,0.0%,0.0%,0.0%
511145,Veterná Poruba,5,SK,98.4%,0.0%,0.0%,0.3%
511153,Vlachy,5,SK,95.8%,0.2%,0.0%,0.0%
511170,Východná,5,SK,96.8%,0.2%,1.3%,0.0%
511188,Vyšná Boca,5,SK,97.2%,0.0%,0.0%,0.0%
511196,Závažná Poruba,5,SK,96.2%,0.1%,0.0%,0.1%
511200,Žiar (LM),5,SK,97.3%,0.2%,0.0%,0.0%
511218,Lučenec,6,SK,79.7%,8.4%,0.2%,0.0%
511226,Ábelová,6,SK,88.1%,0.9%,1.4%,0.5%
511234,Belina - Béna,6,HU,12.8%,83.0%,0.2%,0.0%
511251,Boľkovce,6,SK,81.3%,16.0%,0.5%,0.0%
511269,Breznička (PT),6,SK,97.5%,0.8%,0.0%,0.0%
511277,Budiná,6,SK,97.1%,0.0%,0.0%,0.0%
511293,Buzitka,6,SK,86.4%,9.6%,0.0%,0.0%
511315,Cinobaňa,6,SK,92.9%,0.5%,0.3%,0.0%
511323,Čakanovce (LC) - Csákányháza,6,HU,13.1%,73.4%,11.9%,0.0%
511331,Čamovce - Csomatelke,6,HU,19.6%,65.2%,10.0%,0.0%
511340,České Brezovo,6,SK,98.0%,0.2%,0.0%,0.0%
511358,Divín,6,SK,98.7%,0.1%,0.0%,0.0%
511366,Dobroč,6,SK,96.8%,0.5%,0.0%,0.0%
511374,Kotmanová,6,SK,97.5%,0.4%,0.0%,0.0%
511391,Fiľakovo - Fülek,6,HU,29.8%,62.9%,1.4%,0.0%
511404,Fiľakovské Kováče - Fülekkovácsi,6,SK,50.1%,48.1%,0.1%,0.0%
511421,Halič,6,SK,95.2%,0.7%,0.3%,0.1%
511439,Holiša - Ipolygalsa,6,SK,56.6%,40.9%,0.6%,0.0%
511447,Hradište (PT),6,SK,95.0%,0.0%,1.3%,0.0%
511463,Jelšovec,6,SK,72.2%,7.9%,0.0%,0.0%
511471,Kalinovo,6,SK,95.8%,0.9%,0.1%,0.0%
511480,Kalonda - Kalonda,6,HU,44.4%,53.0%,0.0%,0.0%
511498,Kokava nad Rimavicou,6,SK,95.3%,0.2%,2.4%,0.0%
511501,Krná,6,SK,85.2%,3.7%,0.0%,0.0%
511510,Látky,6,SK,98.0%,0.2%,0.0%,0.0%
511528,Lehôtka,6,SK,94.9%,1.1%,0.0%,0.0%
511536,Lentvora,6,SK,97.6%,0.0%,0.0%,0.0%
511544,Lipovany,6,SK,95.5%,0.8%,0.0%,0.0%
511552,Lovinobaňa,6,SK,95.0%,0.3%,1.0%,0.0%
511561,Ľuboreč,6,SK,92.0%,1.4%,2.6%,0.0%
511579,Lupoč,6,SK,95.6%,0.5%,0.0%,0.5%
511595,Málinec,6,SK,96.2%,0.1%,0.8%,0.0%
511609,Mašková,6,SK,99.1%,0.0%,0.3%,0.0%
511617,Mládzovo,6,SK,99.0%,0.0%,0.0%,0.0%
511625,Mučín,6,SK,59.6%,11.4%,24.2%,0.0%
511641,Mýtna,6,SK,96.1%,0.1%,0.1%,0.0%
511668,Nitra nad Ipľom - Ipolynyitra,6,SK,40.7%,21.0%,36.2%,0.0%
511676,Nové Hony,6,SK,84.9%,12.3%,0.0%,0.0%
511684,Ozdín,6,SK,98.3%,0.7%,0.0%,0.0%
511692,Panické Dravce - Panyidaróc,6,SK,67.3%,27.2%,0.3%,0.0%
511706,Píla (LC),6,SK,98.0%,0.4%,0.0%,0.0%
511714,Pinciná - Pinc,6,SK,61.5%,35.6%,0.0%,0.0%
511722,Pleš - Fülekpilis,6,SK,68.1%,27.7%,0.0%,0.0%
511731,Podkriváň,6,SK,97.5%,0.7%,0.0%,0.0%
511749,Podrečany,6,SK,93.5%,1.7%,0.0%,0.0%
511757,Polichno,6,SK,58.6%,0.0%,0.8%,0.0%
511765,Poltár,6,SK,92.1%,0.4%,0.2%,0.1%
511773,Praha,6,SK,93.3%,4.0%,0.0%,0.0%
511781,Prša - Perse,6,HU,19.5%,78.4%,0.0%,0.0%
511790,Radzovce - Ragyolc,6,HU,30.2%,66.9%,1.2%,0.0%
511803,Rapovce - Rapp,6,SK,62.8%,30.2%,0.5%,0.0%
511811,Ratka,6,SK,86.9%,5.5%,0.0%,0.0%
511820,Rovňany,6,SK,94.7%,0.0%,0.4%,0.0%
511838,Ružiná,6,SK,97.0%,0.5%,0.0%,0.0%
511846,Stará Halič,6,SK,90.6%,0.8%,0.0%,0.0%
511854,Šávoľ - Füleksávoly,6,HU,21.6%,55.3%,17.2%,0.0%
511862,Šiatorská Bukovinka,6,SK,89.3%,8.0%,0.0%,0.0%
511871,Šíd - Gömörsid,6,HU,14.4%,49.7%,23.7%,0.0%
511889,Šoltýska,6,SK,91.9%,0.0%,0.0%,0.0%
511897,Šurice - Sőreg,6,HU,21.7%,77.5%,0.2%,0.0%
511901,Točnica,6,SK,95.6%,0.3%,1.8%,0.0%
511919,Tomášovce (LC),6,SK,95.9%,1.5%,0.1%,0.0%
511927,Trebeľovce,6,SK,81.0%,14.8%,0.1%,0.0%
511943,Tuhár,6,SK,97.3%,0.0%,0.0%,0.0%
511978,Uhorské,6,SK,96.1%,0.8%,0.0%,0.0%
511994,Veľká nad Ipľom - Vilke,6,SK,61.6%,29.9%,0.2%,0.0%
512001,Veľká Ves,6,SK,96.0%,0.2%,0.0%,0.0%
512010,Veľké Dravce - Nagydaróc,6,HU,29.8%,48.7%,14.9%,0.0%
512036,Martin,5,SK,92.4%,0.2%,0.1%,0.1%
512044,Abramová,5,SK,83.1%,0.0%,0.0%,0.0%
512052,Belá-Dulice,5,SK,97.3%,0.0%,0.0%,0.1%
512061,Benice,5,SK,98.9%,0.0%,0.0%,0.0%
512079,Blatnica,5,SK,97.0%,0.3%,0.0%,0.2%
512087,Blažovce,5,SK,97.5%,0.0%,0.0%,0.0%
512095,Bodorová,5,SK,96.7%,0.0%,0.0%,0.0%
512109,Borcová,5,SK,100.0%,0.0%,0.0%,0.0%
512117,Brieštie,5,SK,95.6%,0.0%,0.0%,0.7%
512125,Budiš,5,SK,97.4%,0.0%,0.0%,0.0%
512133,Bystrička,5,SK,96.7%,0.1%,0.0%,0.1%
512141,Čremošné,5,SK,96.2%,1.3%,0.0%,0.0%
512150,Ďanová,5,SK,97.7%,0.5%,0.2%,0.0%
512168,Diaková,5,SK,96.7%,0.0%,0.0%,0.0%
512206,Dolný Kalník,5,SK,98.0%,0.0%,0.0%,0.0%
512214,Dražkovce,5,SK,95.0%,0.1%,0.1%,0.0%
512222,Dubové (TR),5,SK,97.1%,0.1%,0.0%,0.0%
512257,Folkušová,5,SK,97.3%,0.0%,0.0%,0.0%
512265,Háj (TR),5,SK,98.3%,0.0%,0.0%,0.0%
512273,Horná Štubňa,5,SK,93.1%,0.1%,0.3%,0.0%
512290,Horný Kalník,5,SK,99.5%,0.0%,0.0%,0.0%
512303,Ivančiná,5,SK,94.4%,1.1%,0.0%,0.0%
512311,Jasenovo,5,SK,95.9%,0.0%,0.0%,0.0%
512320,Jazernica,5,SK,93.5%,0.0%,0.0%,0.0%
512338,Kaľamenová,5,SK,98.8%,0.0%,0.0%,0.0%
512346,Karlová,5,SK,100.0%,0.0%,0.0%,0.0%
512354,Kláštor pod Znievom,5,SK,95.8%,0.2%,0.2%,0.0%
512371,Košťany nad Turcom,5,SK,94.8%,0.1%,0.1%,0.1%
512389,Krpeľany,5,SK,98.3%,0.0%,0.0%,0.0%
512397,Laskár,5,SK,96.7%,0.0%,0.0%,0.0%
512419,Ležiachov,5,SK,99.4%,0.0%,0.0%,0.0%
512427,Liešno,5,SK,100.0%,0.0%,0.0%,0.0%
512435,Lipovec (MT),5,SK,95.2%,0.0%,0.0%,0.0%
512443,Malý Čepčín,5,SK,98.9%,0.2%,0.0%,0.0%
512451,Moškovec,5,SK,98.6%,0.0%,0.0%,0.0%
512460,Mošovce,5,SK,97.3%,0.1%,0.0%,0.1%
512478,Necpaly,5,SK,96.0%,0.0%,0.0%,0.0%
512486,Nolčovo,5,SK,96.1%,0.4%,0.0%,0.0%
512494,Ondrašová,5,SK,89.1%,0.0%,0.0%,0.0%
512508,Podhradie (MT),5,SK,98.2%,0.1%,0.0%,0.0%
512524,Príbovce,5,SK,94.7%,0.1%,0.0%,0.0%
512541,Rakovo,5,SK,96.9%,0.0%,0.0%,0.0%
512559,Rakša,5,SK,99.5%,0.0%,0.0%,0.0%
512567,Ratkovo,5,SK,99.0%,0.5%,0.0%,0.0%
512575,Rudno,5,SK,98.0%,0.0%,0.0%,0.0%
512583,Sklabiňa,5,SK,93.8%,0.0%,0.0%,0.2%
512591,Sklabinský Podzámok,5,SK,98.3%,0.0%,0.0%,0.0%
512605,Sklené,5,SK,95.2%,0.0%,0.0%,0.0%
512613,Slovany,5,SK,97.3%,0.0%,0.0%,0.0%
512621,Slovenské Pravno,5,SK,99.2%,0.0%,0.0%,0.0%
512630,Socovce,5,SK,95.4%,0.0%,0.4%,0.0%
512648,Sučany,5,SK,94.8%,0.1%,0.2%,0.0%
512656,Šútovo,5,SK,99.2%,0.0%,0.0%,0.0%
512664,Trebostovo,5,SK,98.7%,0.0%,0.0%,0.2%
512672,Trnovo,5,SK,95.0%,0.0%,0.0%,0.0%
512681,Turany,5,SK,93.6%,0.1%,0.0%,0.0%
512699,Turček,5,SK,90.8%,0.0%,0.2%,0.0%
512702,Turčianska Štiavnička,5,SK,97.7%,0.0%,0.0%,0.0%
512711,Turčianske Kľačany,5,SK,97.0%,0.0%,0.0%,0.0%
512729,Turčianske Teplice,5,SK,92.9%,0.1%,0.0%,0.0%
512737,Turčiansky Ďur,5,SK,94.7%,0.0%,0.0%,0.0%
512753,Turčiansky Peter,5,SK,90.7%,0.0%,0.0%,0.4%
512761,Valča,5,SK,95.9%,0.1%,0.0%,0.1%
512788,Veľký Čepčín,5,SK,98.0%,0.0%,0.0%,0.0%
512796,Vrícko,5,SK,95.2%,0.7%,0.0%,0.0%
512818,Záborie,5,SK,98.8%,0.0%,0.0%,0.0%
512834,Žabokreky,5,SK,94.5%,0.0%,0.1%,0.0%
512842,Považská Bystrica,3,SK,93.6%,0.1%,0.0%,0.0%
512851,Beluša,3,SK,96.4%,0.0%,0.0%,0.0%
512885,Bolešov,3,SK,97.5%,0.1%,0.0%,0.1%
512915,Brvnište,3,SK,95.3%,0.0%,0.0%,0.0%
512931,Červený Kameň,3,SK,95.5%,0.0%,0.0%,0.0%
512940,Dohňany,3,SK,98.1%,0.0%,0.1%,0.1%
512958,Dolná Breznica,3,SK,99.4%,0.0%,0.0%,0.0%
512966,Dolná Mariková,3,SK,97.6%,0.0%,0.1%,0.0%
513008,Domaniža,3,SK,96.4%,0.0%,0.0%,0.0%
513016,Dubnica nad Váhom,3,SK,92.5%,0.1%,0.0%,0.0%
513024,Dulov,3,SK,96.9%,0.0%,0.0%,0.0%
513083,Horná Mariková,3,SK,95.3%,0.0%,0.0%,0.0%
513091,Horná Poruba,3,SK,99.2%,0.0%,0.0%,0.0%
513121,Horovce (PU),3,SK,97.3%,0.0%,0.0%,0.0%
513156,Ilava,3,SK,93.8%,0.1%,0.0%,0.0%
513172,Jasenica,3,SK,95.4%,0.0%,0.0%,0.0%
513245,Kostolec,3,SK,98.8%,0.0%,0.0%,0.0%
513253,Košeca,3,SK,97.4%,0.1%,0.2%,0.0%
513296,Ladce,3,SK,93.8%,0.0%,0.4%,0.0%
513300,Lazy pod Makytou,3,SK,94.7%,0.0%,0.0%,0.0%
513318,Lednica,3,SK,98.5%,0.0%,0.0%,0.0%
513326,Lednické Rovne,3,SK,96.4%,0.0%,0.2%,0.0%
513334,Lúky,3,SK,97.2%,0.0%,0.0%,0.0%
513342,Lysá pod Makytou,3,SK,96.9%,0.1%,0.0%,0.0%
513351,Košecké Podhradie,3,SK,96.2%,0.1%,0.0%,0.0%
513377,Mestečko,3,SK,97.7%,0.4%,0.0%,0.0%
513385,Mikušovce (IL),3,SK,95.6%,0.1%,0.1%,0.0%
513407,Mojtín,3,SK,98.4%,0.0%,0.0%,0.0%
513440,Nová Dubnica,3,SK,92.8%,0.2%,0.0%,0.0%
513466,Papradno,3,SK,96.3%,0.1%,0.1%,0.0%
513474,Plevník-Drienové,3,SK,96.9%,0.1%,0.0%,0.0%
513563,Prečín,3,SK,95.4%,0.2%,0.0%,0.0%
513598,Pruské,3,SK,94.3%,0.0%,0.0%,0.0%
513601,Pružina,3,SK,97.2%,0.1%,0.0%,0.0%
513610,Púchov,3,SK,93.1%,0.1%,0.1%,0.0%
513687,Stupné,3,SK,96.5%,0.0%,0.1%,0.0%
513725,Tuchyňa,3,SK,98.6%,0.0%,0.0%,0.0%
513741,Udiča,3,SK,94.1%,0.1%,0.0%,0.0%
513776,Visolaje,3,SK,96.2%,0.0%,0.0%,0.0%
513784,Vrchteplá,3,SK,94.0%,0.0%,0.0%,0.0%
513792,Malá Tŕňa,8,SK,90.2%,5.0%,0.8%,0.0%
513806,Veľká Tŕňa,8,SK,93.9%,1.1%,0.0%,0.0%
513814,Záriečie,3,SK,97.6%,0.0%,0.0%,0.0%
513822,Záskalie,3,SK,96.9%,0.5%,0.0%,0.0%
513831,Klin nad Bodrogom - Bodrogszög,8,SK,49.7%,41.0%,0.0%,0.0%
513849,Stanča,8,SK,95.7%,0.0%,0.0%,0.0%
513857,Budince - Budaháza,8,HU,6.2%,85.4%,1.8%,0.0%
513865,Zliechov,3,SK,96.9%,0.0%,0.0%,0.0%
513881,Prievidza,3,SK,89.9%,0.3%,0.1%,0.0%
513903,Bojnice,3,SK,91.7%,0.3%,0.0%,0.0%
513911,Bystričany,3,SK,98.9%,0.1%,0.1%,0.0%
513920,Cigeľ,3,SK,96.4%,0.0%,0.1%,0.0%
513938,Čavoj,3,SK,98.6%,0.0%,0.0%,0.0%
513946,Čereňany,3,SK,95.8%,0.2%,0.0%,0.0%
513954,Diviacka Nová Ves,3,SK,98.7%,0.2%,0.0%,0.0%
513962,Diviaky nad Nitricou,3,SK,97.8%,0.1%,0.0%,0.0%
513971,Dlžín,3,SK,91.5%,0.0%,0.0%,0.0%
513989,Dolné Vestenice,3,SK,96.6%,0.0%,0.0%,0.0%
513997,Handlová,3,SK,89.8%,0.3%,0.2%,0.0%
514004,Horná Ves (PD),3,SK,97.9%,0.0%,0.0%,0.0%
514012,Horné Vestenice,3,SK,94.9%,0.3%,0.2%,0.0%
514021,Chrenovec-Brusno,3,SK,96.6%,0.1%,0.0%,0.0%
514039,Chvojnica (PD),3,SK,95.5%,1.2%,0.8%,0.0%
514063,Kamenec pod Vtáčnikom,3,SK,98.5%,0.1%,0.0%,0.0%
514071,Kanianka,3,SK,96.8%,0.1%,0.0%,0.0%
514080,Kľačno,3,SK,93.8%,0.1%,0.0%,0.0%
514098,Kocurany,3,SK,96.7%,0.2%,0.2%,0.2%
514101,Kostolná Ves,3,SK,96.9%,0.0%,0.0%,0.0%
514110,Koš,3,SK,90.4%,0.1%,0.0%,0.0%
514128,Lazany,3,SK,95.1%,0.1%,0.0%,0.0%
514136,Lehota pod Vtáčnikom,3,SK,94.9%,0.1%,0.0%,0.0%
514144,Liešťany,3,SK,97.8%,0.1%,0.0%,0.0%
514179,Malá Čausa,3,SK,96.3%,0.0%,0.0%,0.0%
514187,Malinová,3,SK,96.6%,0.1%,0.0%,0.0%
514209,Nedožery-Brezany,3,SK,96.3%,0.1%,0.2%,0.0%
514217,Nevidzany (PD),3,SK,98.7%,0.0%,0.0%,0.0%
514225,Nitrianske Pravno,3,SK,92.7%,0.1%,0.2%,0.0%
514233,Nitrianske Rudno,3,SK,98.4%,0.1%,0.0%,0.0%
514241,Nitrianske Sučany,3,SK,98.8%,0.1%,0.0%,0.0%
514250,Nitrica,3,SK,97.9%,0.3%,0.0%,0.0%
514268,Nováky,3,SK,93.4%,0.2%,0.0%,0.0%
514284,Opatovce nad Nitrou,3,SK,98.4%,0.1%,0.0%,0.0%
514292,Oslany,3,SK,98.3%,0.1%,0.1%,0.0%
514306,Podhradie (PD),3,SK,97.6%,0.0%,0.0%,0.0%
514314,Poluvsie,3,SK,95.3%,0.2%,0.0%,0.0%
514322,Poruba,3,SK,97.4%,0.2%,0.1%,0.0%
514331,Pravenec,3,SK,93.3%,0.8%,0.2%,0.0%
514349,Radobica,3,SK,98.4%,0.0%,0.0%,0.0%
514357,Ráztočno,3,SK,95.1%,0.2%,0.2%,0.0%
514365,Rudnianska Lehota,3,SK,96.5%,0.3%,0.0%,0.0%
514373,Sebedražie,3,SK,96.5%,0.1%,0.0%,0.1%
